tempo,entrada,saida
0,0,0.00
1,5,0.00
2,10,0.00
3,15,0.00
4,20,0.00
5,25,0.00
6,30,0.00
7,35,0.00
8,40,0.00
9,45,0.00
10,50,0.00
11,55,0.00
12,60,0.00
13,65,0.00
14,70,0.00
15,75,0.00
16,80,0.00
17,85,0.00
18,90,0.00
19,95,0.00
20,100,0.00
21,105,0.62
22,110,0.72
23,115,0.75
24,120,0.86
25,125,0.93
26,130,0.94
27,135,1.00
28,140,1.05
29,145,1.10
30,150,1.16
31,155,1.20
32,160,1.26
33,165,1.27
34,170,1.30
35,175,1.32
36,180,1.38
37,185,1.41
38,190,1.44
39,195,1.44
40,200,1.47
41,205,1.55
42,210,1.52
43,215,1.61
44,220,1.58
45,225,1.61
46,230,1.62
47,235,1.69
48,240,1.72
49,245,1.71
50,250,1.78
51,0,1.81
52,5,0.00
53,10,0.00
54,15,0.00
55,20,0.00
56,25,0.00
57,30,0.00
58,35,0.00
59,40,0.00
60,45,0.00
61,50,0.00
62,55,0.00
63,60,0.00
64,65,0.00
65,70,0.00
66,75,0.00
67,80,0.00
68,85,0.00
69,90,0.00
70,95,0.00
71,100,0.00
72,105,0.22
73,110,0.68
74,115,0.74
75,120,0.80
76,125,0.91
77,130,0.99
78,135,0.98
79,140,1.04
80,145,1.13
81,150,1.14
82,155,1.18
83,160,1.26
